ID,匹配关系ID,版本ID,物料项ID,*基本流ID,基本流名称（中文）,基本流名称（英文）,基本流分类,流类型,单位（英文）
43289517186379785,43289517155446789,41524144274399237,42474577542373381,41705997519044618,碳氢化合物，未指定,"Hydrocarbons, unspecified",排放到水/海洋,基本流,kg
43289517186379781,43289517155446789,41524144274399237,42474577542373381,41705997519044619,碳氢化合物，未指定,"Hydrocarbons, unspecified",排放到土壤/农业,基本流,kg
43289517186379784,43289517155446789,41524144274399237,42474577542373381,41705997519044620,碳氢化合物，未指定,"Hydrocarbons, unspecified",排放到水/地下-，长期,基本流,kg
43289517186379786,43289517155446789,41524144274399237,42474577542373381,41705997519044621,碳氢化合物，未指定,"Hydrocarbons, unspecified",排放到水/地表水,基本流,kg
43289517186379787,43289517155446789,41524144274399237,42474577542373381,41705997519044622,碳氢化合物，未指定,"Hydrocarbons, unspecified",排放到水/未指定,基本流,kg
43274789174931470,43274789141639174,41524144274399237,42474577541324806,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931469,43274789141639173,41524144274399237,42474577541062672,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931468,43274789141377052,41524144274399237,42474577541062669,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931467,43274789141377051,41524144274399237,42474577541062666,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931466,43274789141377050,41524144274399237,42474577541062663,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931465,43274789141377049,41524144274399237,42474577540800529,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931464,43274789141377048,41524144274399237,42474577540800527,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931463,43274789141377047,41524144274399237,42474577540800526,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931462,43274789141377046,41524144274399237,42474577540800524,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931461,43274789141377045,41524144274399237,42474577540800521,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669327,43274789141377044,41524144274399237,42474577540800519,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669326,43274789141377043,41524144274399237,42474577540800517,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669325,43274789141377042,41524144274399237,42474577540538386,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669324,43274789141377041,41524144274399237,42433951605055500,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669323,43274789141377040,41524144274399237,42474577540538385,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669322,43274789141377039,41524144274399237,42474577540538384,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669321,43274789141377038,41524144274399237,42474577540538383,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669320,43274789141377037,41524144274399237,42474577540538381,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669319,43274789141377036,41524144274399237,42474577531363333,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669318,43274789141377035,41524144274399237,42474577540538376,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174669317,43274789141377034,41524144274399237,42474577540538375,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43274789174931471,43274789140328469,41524144274399237,42474577610268691,41705996366135302,铝，24%铝土矿中，11%原矿中,"Aluminium, 24% in bauxite, 11% in crude ore",自然资源/地下,基本流,kg
43274789174931475,43274789138231323,41524144274399237,42474577542111247,41705998786248712,二氧化硫,Sulfur dioxide,排放到空气/未指定,基本流,kg
43274789174931473,43274789138231323,41524144274399237,42474577542111247,41705998786510853,二氧化硫,Sulfur dioxide,排放到空气/平流层下部 + 对流层上部,基本流,kg
